dbid,title,age,text,lemmatized
2020, ximple,11,"(tontu) no sap fer coses, es burru.","( tonto ) no saber fer cosa , ser burro ."
7552, complicat,16,Alguna cosa dificil de fer,algun cosa difícil de fer .
7553, espia,16,"Persona que esbrina secrets de la gent
sense que ningú es dongui conte de que
esta allà.",persona que esbrinar secret de el gent sense que ningú ell donar compte de que estar allà .
7554, estudiar,16,"Acciò molt complicada que fan les
persones per apendre alguna cosa.",acció molt complicar que fer el persona per aprendre algun cosa .
147, complicat,11,Es un adjectiu i significa que es molt dificil.,ser un adjectiu i significar que ser molt difícil .
148, espia,11,"És un home o dona que mirar a algú per saber el que 
fan.",ser un home o dona que mirar a algú per saber el que fer .
149, estudiar,11,"Es una acció que serveix per tindre bona nota
en un examen",ser un acció que servir per tenir bo nota en un examen .
11368, microbi,10,tipo de insecte que no pica ni mord,tipus de insecte que no picar ni mossegar .
11369, traduir,10,"cosa que e te que traduirse
ex: nen es rubio ex ecetera",cosa que ell tenir que traduir ell exemple : nen ser rubio exemple ... .
11370, vergonyós,10,nen o nena que te bergonya,nen o nena que tenir vergonya .
11383, bo,10,un nen que fa moltes coses bones,un nen que fer molt cosa bo .
11384, convèncer,10,"si una persona no vol jugar 
dius: va vina a jugar i a l'ho millor
va",si un persona no voler jugar dir : anar venir a jugar i a_lo_millor anar .
11385, mestre,10,Una dona que ensenya als nens coses,un dona que ensenyar al nen cosa .
6230, consultar,14,verb. Acció de preguntar o mirar una cosa.,verb . acció de preguntar o mirar un cosa .
6231, metàl·lic,14,"relatiu al metall, amb les mateixes propietats.","relatiu al metall , amb el mateix propietat ."
6232, vacuna,14,remei a una enfermetat que s'injecta al cosa per tal de que arribi a la sang a l'acte.,remei a un enfermetat que ell injectar al cosa per_tal_de que arribar a el sang a el acte .
5320, arribar,13,Estar en un lloc concret després de haver anat cap allà.,estar en un lloc concret després de haver anar cap allà .
5321, avorrit,13,"És alguna cosa que cansa, i no tens res a fer.","ser algun cosa que cansar , i no tenir res a fer ."
5322, polític,13,"Persona que fa de representant de tota la població (país, ciutat...).","persona que fer de representant de tot el població ( país , ciutat ... ) ."
9922, complicat,15,Qualsevol cosa o exercici amb dificultat.,qualsevol cosa o exercici amb dificultat .
9924, microscopi,15,Objecte utilitzat per mirar objectes molt petits.,objecte utilitzar per mirar objecte molt petit .
142, amagar,11,"Agafar un objecte i ficar-lo a algun puesto per que no
el vegi dingu",agafar un objecte i ficar ell a algun puesto perquè no ell vejar ningú .
143, indígena,11,Una persona de la vida actual pero es primitiva,un persona de el vida actual però ser primitiu .
144, lleig,11,"Qualitat que serveix per a dirnos que algu no es molt guapo
i no te la cara agradable",qualitat que servir per a dir jo que algú no ser molt guapo i no tenir el cara agradable .
2688, consultar,11,ana auna persona per informarse,anar a un persona per informar ell .
2689, metàl·lic,11,de ferro,de ferro .
2690, vacuna,11,agula que prebe enfermetats.,aquell que preveure enfermetat .
6310, bacteri,14,"Substancia, nociva o no, que actúa sobre un ésser viu.","substància , nociu o no , que actuar sobre un ésser viu ."
6311, nadalenc,14,Que té a veure amb el nadal i les seves característiques.,que tenir_a_veure amb el nadal i el_seu característica .
6312, tornar,14,acció d'anar al lloc d'on véns.,acció de anar al lloc de on venir .
5460, fugir,14,"marcxard'un lloc molt depresa, de cop, inesperadamtn.","marxar de un lloc molt de_pressa , de_cop , inesperadament ."
5461, pesat,14,"que te molta massa i que el seu ""pes"" es molt alt.",que tenir molt massa i que el_seu ' pes ' ser molt alt .
5462, volcà,14,"obertura de la terra, en que hi surt magma i va pujant, al final té forma de muntanya. Pot ser actiu o inactiu. Moltes illes surgeixen d'eropcions volcàniques submarines.","obertura de el terra , en que hi sortir magma i anar pujar , al final tenir forma de muntanya . poder ser actiu o inactiu . molt illa surgir de erupció volcànic submarí ."
102, intel·ligent,10,"Una persona que es molt llesta
i tota la gent que no ho es li
diu ""empollona""",un persona que ser molt llest i tot el gent que no ho ser ell dir ' empollon ' .
103, pensar,10,"acció que faig quan no se una cosa 
i men'e de recordar.",acció que fer quan no saber un cosa i jo en haver de recordar .
104, univers,10,"Espai buit que només hi ha astres
planetes i és infinit.",espai buit que només hi haver astre planeta i ser infinit .
2118, fugir,10,"No voler estar allà o amb alguna cosa, sortir-se, córrer.","no voler estar allà o amb algun cosa , sortir ell , córrer ."
2119, pesat,10,Una cosa que pesa molt és una cosa que té una massa molt gran i voluminosa,un cosa que pesar molt ser un cosa que tenir un massa molt gran i voluminós .
2120, volcà,10,"Un volcà es una elevació del terreny amb una cambra magmàtica.
Quan un volcà erupciona, tot el magma emmagatcemat a la cambra magmàtica surt pel cràter (forat a l'extrem del volcà) amb força. Ex. Vesubi","un volcà ser un elevació del terreny amb un cambra magmàtic . quan un volcà erupcionar , tot el magma emmagatzemat a el cambra magmàtic sortir pel cràter ( forat a el extrem del volcà ) amb força . exemple vesuvi ."
6760, complicat,11,Cosa que costà molt.,cosa que costar molt .
6761, estimar,11,"Afecte, (carácter) que tenen les persones","afecte , ( caràcter ) que tenir el persona ."
6762, microscopi,11,Un aparell que serveix per observar les coses petites millor,un aparell que servir per observar el cosa petit millor .
2698, fugir,11,anar-sen d'un Joc,anar ell en de un joc .
2699, pesat,11,no parar de callar o de molestar,no parar de callar o de molestar .
2700, volcà,11,cosa que cuan fa una * sur lava.,cosa que cuan fer un * sortir lava .
5295, fugir,12,Anar-sen d'un lloc perollòs rapidament.,anar ell en de un lloc perillós ràpidament .
5296, pesat,12,"Alguna cosa que al final aburreix. Cosa que té molts kilos, per tant es pesant , que costa agafar.","algun cosa que al final avorrir . cosa que tenir molt kilo , per tant ser pesant , que costar agafar ."
5297, volcà,12,Escletxa entre el mantell i l'escorça. S'assemblen a muntanyes però es característiquen amb un cràter per on surt el riu de lava.,escletxa entre el mantell i el escorça . ell assemblar a muntanya però es caracteritzar amb un cràter per on sortir el riu de lava .
5125, enyorar,12,trobes a faltrar alguna cosa amb la que havies estat.,trobar a faltar algun cosa amb el que haver ser .
5126, il·legal,12,No permes per la lleì,no permetre per el llei .
5127, península,12,entrant de terra que es fica en el mar nomes te un lloc on esta comunicat amb altre terra.,entrant de terra que ell ficar en el mar només tenir un lloc on estar comunicar amb altre terra .
6420, fugir,15,verb. Fugir: escapar d'alguna cosa ràpidament,verb . fugir : escapar de algun cosa ràpidament .
6421, pesat,15,"adj. qualitat que se li aporta a una persona que no et deixa en pau, que et molesta freqüentment.","adjectiu qualitat que es ell aportar a un persona que no tu deixar en pau , que tu molestar freqüentment ."
6422, vacuna,15,nom. element de la natura que emmergeix del terra i que conté magma al seu interior.,nom . element de el natura que emergir del terra i que contenir magma al seu interior .
6800, complicat,12,Es una cosa que és dificil,ser un cosa que ser difícil .
6801, estimar,12,Es un sentiment que tens per alguna gent,ser un sentiment que tenir per algun gent .
6802, microscopi,12,Es un material que serveix per veure desde molt més aprop,ser un material que servir per veure des_de molt més a_prop .
5135, estimar,12,"Sentir tendresa per alguna persona, sigui familiar o conegut","sentir tendresa per algun persona , ser familiar o conegut ."
5136, gent gran,12,Persona que està en la tercera edat sinònim = avi,persona que estar en el tercer edat sinònim = avi .
5137, ximple,12,Persona que es comporta o fa les coses d'una manera com més tonta.,persona que ell comportar o fer el cosa de un manera com més tonta .
2693, bacteri,11,Un insecte molt petit que nomes es pot beure per  un microscopic i que et pot perjudicar la salut,un insecte molt petit que només ell poder veure per un microscopi i que tu poder perjudicar el salut .
2694, nadalenc,11,Un home que li agrada molt el nadal,un home que ell agradar molt el nadal .
2695, tornar,11,vol dir que si estas molt lluny que binguis,voler dir que si estar molt lluny que venir .
2703, arribar,11,X,
2704, avorrit,11,"que et quedes sense fer res, i t'aburreixes","que tu quedar sense fer res , i tu avorrir ."
2705, polític,11,una persona que es política i avegades es presenta a president,un persona que ser política i a_vegades ell presentar a president .
425, llegir,11,Un caràcter que fem quan no tenim que fe res.,un caràcter que fer quan no tenir que fer res .
426, mapa,11,"Paper, que hi ha dibuixada els carrers, el mar... on tenim que anar.","paper , que hi haver dibuixar el carrer , el mar ... on tenir que anar ."
427, minúscul,11,petit objecte o ésser viu,petit objecte o ésser viu .
6180, estimar,14,sentiment molt fort cap a una persona o animal.,sentiment molt fort cap_a un persona o animal .
6181, gent gran,14,gent amb edat avançada.,gent amb edat avançat .
6182, ximple,14,persona que diu tonteries.,persona que dir tonteria .
5105, microbi,11,minúscul,minúscul .
5106, traduir,11,pasar d'una llengua a una altre,passar de un llengua a un altre .
5107, vergonyós,11,"que te vergonya, no es comunica gaire amb la gent.","que tenir vergonya , no ell comunicar gaire amb el gent ."
4274, canviar,7,es fer una cosa primer i despres l'altre i passar d'una a l'altre es diu canviar.,ser fer un cosa primer i després el altre i passar de un a el altre es dir canviar .
4275, divertit,7,"una cosa divertida es quant t'ho passes be. Una persona potses es divertida, quan juga quan fa bromes.","un cosa divertir ser quan tu ho passar bé . un persona potser ser divertit , quan jugar quan fer broma ."
4276, helicòpter,7,es un vehicle que vola com l'avio però mes petit i amb una helice.,ser un vehicle que volar com ell avió però més petit i amb un hèlice .
62, enganyar,10,digues una mentida,dir un mentida .
63, espatllat,10,sa trencat,ell haver trencar .
64, microscopi,10,es veuen coses,ell veure cosa .
11398, comptar,9,"Compatr els numeros: 1,2 ,3 ,4 etc...",comptar el número : 1 2 3 4 etcètera . .
11399, estrany,9,Mona cosa que es diferent.,mona cosa que ser diferent .
11400, pau,9,"1 Es quan en un lloc hi ha pau
2 Es el nom d'un nen",1 ser quan en un lloc hi haver pau 2 ser el nom de un nen .
92, bo,11,Adjectiu que fem servir per a dir que algun menjar esta deliciós.,adjectiu que fer_servir per a dir que algun menjar estar deliciós .
93, convèncer,11,"És una acció que la fem anar per a dir a una persona
que fagi algo que vulguem.",ser un acció que ell fer anar per a dir a un persona que fer algo que voler .
94, mestre,11,"Persona que traballe a un col·legi per ensenyar a les
persones.",persona que treballar a un col·legi per ensenyar a el persona .
2078, continent,12,Un continent ès un paìs com per exemple: Marroc.,un continent ser un país com per_exemple : marroc .
2079, culpable,12,Alguna cosa que as fet que no esta bè:,algun cosa que haver fer que no estar bé .
2080, inventar,12,Inventar vol dir fer alguna cosa diferent que els demas exemple: Inventar una suma.,inventar voler dir fer algun cosa diferent que el demás exemple : inventar un suma .
4249, familiar,8,quan duges per sones es troven ison de la mateixa familia es diu - Hola familiar -,quan dos persona ell trobar i ser de el mateix familia es dir - hola familiar - .
4250, illa,8,es un lloc que esta envoltat d'aigua,ser un lloc que estar envoltar de aigua .
4251, transformar,8,es una cosa que es una cosa i despres es una altra,ser un cosa que ser un cosa i després ser un altre .
7324, construir,13,verb.,verb .
7325, fastigós,13,"que fa fàstic, que no agrada.","que fer fàstic , que no agradar ."
7326, telescopi,13,"per veure coses de mides molt diminutes,
o alguna cosa que es trova a una distancia
gran.","per veure cosa de mida molt diminut , o algun cosa que ell trobar a un distància gran ."
6115, complicat,14,que és dificil de fer,que ser difícil de fer .
6116, espia,14,persona que es dedica a anar darrere de persones per saber que fan en cada moment.,persona que ell dedicar a anar darrere de persona per saber què fer en cada moment .
6117, estudiar,14,aprendre a fer alguna cosa.,aprendre a fer algun cosa .
6030, microbi,14,ésser microscopic que pot provocar infeccions,ésser microscòpic que poder provocar infecció .
6031, traduir,14,"traspasar, modificar de una llengua a una altra","traspassar , modificar de un llengua a un altre ."
6032, vergonyós,14,"persona o ante que provoca vergonya, que et fa fer el ridicul.","persona o ésser que provocar vergonya , que tu fer fer el ridícul ."
5465, construir,14,montar alguna cosa.,muntar algun cosa .
5466, fastigós,14,sensació de rebuig a alguna cosa.,sensació de rebuig a algun cosa .
5467, telescopi,14,"objecte que té la utilitat d'ampliar coses que tenim molt de lluny de la terra (planetes, estrelles...)","objecte que tenir el utilitat de ampliar cosa que tenir molt de lluny de el terra ( planeta , estrella ... ) ."
5902, illa,12,tros de terra envoltat per tots els costats d'aigua.,tros de terra envoltat per tot el costat de aigua .
5903, transformar,12,canvi total de forma.,canvi total de forma .
137, microbi,11,"És un bitxo molt petit que és té de mirar
amb microescopi que produeix moltes malalties",ser un bitxo molt petit que ell tenir de mirar amb microscopi que produir molt malaltia .
138, traduir,11,Passar d'una llengua a l'altra,passar de un llengua a el altre .
139, vergonyós,11,Persona que no parla mai,persona que no parlar mai .
5926, enyorar,13,sentiment de quan trobes a faltar algú,sentiment de quan trobar a faltar algú .
5927, il·legal,13,"Persona o objecte, que no està legalitzat. en contra de la llei.","persona o objecte , que no estar legalitzar . en_contra_de el llei ."
5928, península,13,"Part que uneix una part de terra que surt cap al mar. Espanya, té una penínsul·la","part que unir un part de terra que sortir cap al mar . espanya , tenir un península ."
4757, bacteri,9,Ser viu micocòpic que pot ser bo o dolent.,ésser viu microscòpic que poder ser bo o dolent .
4758, nadalenc,9,objecte o persona típic de nadal. Aquell avet amb boles és molt nadalenc!,objecte o persona típic de nadal . aquell avet amb bola ser molt nadalenc !
4759, tornar,9,"Retornar al lloc on eres. Jo estava aqí, vaig anar allá i vaig tornar aquí.","retornar al lloc on ser . jo estar aquí , anar anar allà i anar tornar aquí ."
11393, fugir,10,Aanrsen,anar ell en .
11394, pesat,10,Que esta dient lo mateix tota la estona.,que estar dir el mateix tot el estona .
11395, volcà,10,Com una montanya que treu foc,com un muntanya que treure foc .
11318, bacteri,10,es un Microvi no es pot veure,ser un microbi no es poder veure .
11319, nadalenc,10,quees nadal,que ser nadal .
11320, tornar,10,que torna algun objecte,que tornar algun objecte .
5365, complicat,12,"Alguna cosa que no és fàcil que costa fer-la, desenvolupar-la","algun cosa que no ser fàcil que costar fer ell , desenvolupar ell ."
5366, espia,12,"Persona que es dedica a espiar als altres (a veure, observar, enterarse de les coses privades i de tot el que fa).","persona que ell dedicar a espiar al altre ( a veure , observar , enterar ell de el cosa privat i de tot el que fer ) ."
5367, estudiar,12,"Posarte dú, amb ànims i amb un bon lloc a memoritzar i entendre uns temes…","posar tu dur , amb ànim i amb un bon lloc a memoritzar i entendre un tema …"
5085, canviar,11,Deixar una cosa per agafar un altre,deixar un cosa per agafar un altre .
5086, divertit,11,és la paraula quan alguna cosa fa gràcia i/o entreté.,ser el paraula quan algun cosa fer gràcia i / o entretenir .
5087, helicòpter,11,transport que va per aire amb poca capacitat i funciona amb una hèlix.,transport que anar per aire amb poc capacitat i funcionar amb un hèlix .
57, canviar,9,"Quant tu li dones algo algú i ell et dona
una altre cosa",quan tu ell donar algo algú i ell tu donar un altre cosa .
58, divertit,9,Quan algo fa gràcia,quan algo fer gràcia .
59, helicòpter,9,Es una màquina que vola,ser un màquina que volar .
928, consultar,10,Preguntar a algù o a un ordinador la cosa desitjada,preguntar a algú o a un ordinador el cosa desitjar .
929, metàl·lic,10,Cosa feta de metall es diu metal·lic,cosa fet de metall ell dir metàl·lic .
930, vacuna,10,xeringa que es fa servir per prevenir una malaltia.,xeringa que es fer servir per prevenir un malaltia .
10402, canviar,0,Intercanviar una cosa,intercanviar un cosa .
10403, divertit,0,Que to pases be amb el que fas,que tu ho passar bé amb el que fer .
10404, helicòpter,0,Medi de transport aeri,medi de transport aeri .
10532, construir,13,Fe una obra,fer un obra .
10533, fastigós,13,una cosa orripilant,un cosa horripilant .
10534, telescopi,13,Instrument per veure les coses més grans,instrument per veure el cosa més gran .
10517, arribar,13,contrari d'anar-se'n,contrari de anar ell en .
10518, avorrit,13,contrari de divertit,contrari de divertit .
10519, polític,13,senyor que es dedica a millorar Espanya (Zapatero) o ell lloc on governi,senyor que ell dedicar a millorar espanya ( zapatero ) o el lloc on governar .
10487, àrab,14,tipus de persona am els seus tipus de religio i creences.,tipus de persona amb el_seu tipus de religió i creença .
10488, badar,14,"Estar dsitret, mirant les musaranyes no estar atent en alguna explicacio ex: laltre dia bai badar en socials.","estar distret , mirar el musaranya no estar atent en algun explicació exemple : el altre dia anar badar en socials ."
10489, llunyà,14,Alguna cosa que esta lluny ja bes sigui de distancia o de recors. ex distancia: mira aquell punt llunyà d'alba. recors: recordo aquell llunyà sopar amb tu.,algun cosa que estar lluny ja bé ser de distància o de record . exemple distància : mirar aquell punt llunyà de allà . record : recordar aquell llunyà sopar amb tu .
10387, complicat,12,dificil.,difícil .
10389, estudiar,12,"apendre, repasar.","aprendre , repassar ."
10552, complicat,13,Molt dificil de fer.,molt difícil de fer .
10553, espia,13,Loc sense res.,lloc sense res .
10554, estudiar,13,acció per els esser per recorda.,acció per el ésser per recordar .
10572, cor,6,urdinado,ordinador .
10573, espantar-se,6,antepa,.
10574, infantil,6,santc,.
10397, bo,13,"person que es amable, agradable, etc...","persona que ser amable , agradable , etcètera . ."
10398, convèncer,13,per canviar dupinio a altre persona,per canviar de opinió a altre persona .
10399, mestre,13,"persona que ensenya a escriure, estar ven educat etc...","persona que ensenyar a escriure , estar ben educar etcètera . ."
11987, microbi,7,el s microbis son uns *,el microbi ser un * .
11931, àrab,8,Es un idioma que no es catala.,ser un idioma que no ser català .
11932, badar,8,E es quan estem distrets,e ser quan estar distret .
11933, llunyà,8,Es quant una cosa esta lluny,ser quan un cosa estar lluny .
6710, complicat,11,"una cosa molt
dificil al fer,
es molt complicat","un cosa molt difícil al fer , ser molt complicat ."
6711, estimar,11,"estimar algú,
es apreciar algú
estimar-la molt.","estimar algú , ser apreciar algú estimar ell molt ."
6712, microscopi,11,"es un aparelll
per veure es coses més
grans",ser un aparell per veure el cosa més gran .
6780, complicat,12,Una cosa quan es tant compicat que et poses dels nervis,un cosa quan ser tant complicat que tu posar del nervi .
6781, estimar,12,quan tenamores d'una noia i no pots deixar de pensar amb ella,quan tu enamorar de un noia i no poder deixar de pensar amb ell .
6782, microscopi,12,Una cosa per mirar les coses molt petites,un cosa per mirar el cosa molt petit .
2843, arribar,10,* un itinerani i finatlitzar-lo,* un itinerari i finalitzar ell .
2844, avorrit,10,persona que es passa tota l'estona sense fer res,persona que ell passar tot el estona sense fer res .
2845, polític,10,Persona que porta un partit polític i promet coses perquè la gent quan siguin les eleccions l'*,persona que portar un partit polític i prometre cosa perquè el gent quan ser el elecció el * .
2628, comptar,7,euros,euro .
2629, estrany,7,es un mono,ser un mono .
2630, pau,7,es un metru,ser un metro .
2623, llegir,6,es una cosa que es mira i di las paraure que lla,ser un cosa que ell mirar i dir el paraula que hi haver .
2624, mapa,6,el mapa es una cosa que tena paisus,el mapa ser un cosa que tenir país .
2315, tornar,11,dir que tona de fer alguna cosa,dir que tornar de fer algun cosa .
2318, imaginar,11,* coses bones que ens agrada* que pasesin,* cosa bo que jo agradar * que passar .
2319, innocent,11,una persona que no era * dolent,un persona que no ser * dolent .
2320, turó,11,una muntanya petita,un muntanya petit .
2873, estimar,11,Persona que li agrada i sempre esta amb ella.,persona que ell agradar i sempre estar amb ell .
2874, gent gran,11,Persona que ja es gran i ja no pot fer tot el que feia quan era llova.,persona que ja ser gran i ja no poder fer tot el que fer quan ser jove .
2875, ximple,11,Persona que no es molt jesta i que no fa cas,persona que no ser molt llest i que no fer cas .
2718, llegir,11,dir una cosa que posa en un llibre full llibreta.,dir un cosa que posar en un llibre full llibreta .
2719, mapa,11,full on tindica on estas i on tens que anar,full on tu indicar on estar i on tenir que anar .
2720, minúscul,11,una cosa tant tant petita com cun pesul.,un cosa tan tan petit com un pèsol .
2724, divertit,11,pasarto bé,passar tu ' ho bé .
2725, helicòpter,11,un beicle que va per l'aire,un vehicle que anar per el aire .
2823, familiar,10,home o dona d'una familia.,home o dona de un família .
2824, illa,10,cosa que esta envoltada per aigua,cosa que estar envoltat per aigua .
2825, transformar,10,Cambiar una cosa per un altre millor,canviar un cosa per un altre millor .
2808, imaginar,11,te molta imaginacio,tenir molt imaginació .
2809, innocent,11,No ha fet re,no haver fer res .
2813, enyorar,11,voler que torni,voler que tornar .
2814, il·legal,11,alguna cosa dolenta,algun cosa dolent .
2815, península,11,illa menys per un costat,illa menys per un costat .
4930, complicat,10,difícil de fer o de parlar...,difícil de fer o de parlar ...
4931, espia,10,algù que mira a gent d'amagat per treure informació,algú que mirar a gent de_amagat per treure informació .
4932, estudiar,10,"algo molt aburrit, que serveix per aprendre coses","algo molt avorrit , que servir per aprendre cosa ."
4935, comptar,10,"(comptar les monedes 1,2,3...) (ves amb compte)",( comptar el moneda 1.2 .3 ... ) . ( anar amb compte ) .
4936, estrany,10,"persona que te un carácter diferent als altres, tancat, engoixat (tens un mal comportament avui) (estas molt estrany)","persona que tenir un caràcter diferent al altre , tancar , angoixar ( tenir un mal comportament avui ) ( estar molt estrany ) ."
4937, pau,10,"amistat, confiança (sense barallarse)","amistat , confiança ( sense barallar ell ) ."
5080, intel·ligent,11,Una persona animal que fa les coses de pensar amb agilitat.,un persona animal que fer el cosa de pensar amb agilitat .
5081, pensar,11,"allo que fa un quan fa un examen, o quan vol entendre alguna cosa.","allò que fer un quan fer un examen , o quan voler entendre algun cosa ."
5082, univers,11,"És allò que esta més emllà de la Terra, es com si la Terra flotés en l'univers.","ser allò que estar més enllà de el terra , ser com si el terra flotar en el univers ."
4689, continent,10,  ?,
4690, culpable,10,pues que a fet una cosa que no tenia que fer i a sigut el culpable,pues que haver fer un cosa que no tenir que fer i haver ser el culpable .
4691, inventar,10,es uan persona que inventa coses per exemple un amic li diu que va anar al cine i es va inventar que hi va aver una explosio dins al cine.,ser un persona que inventar cosa per_exemple un amic ell dir que anar anar al cine i ell anar inventar que hi anar haver un explosió dins al cine .
4945, llegir,12,acsió. cosa que fab els humans avagades * *,acció . cosa que fer el humà a_vegades * * .
4946, mapa,12,cosa que serveis per localitzar un lloc determinat,cosa que servir per localitzar un lloc determinat .
4947, minúscul,12,"cosa ,olt petit que els humans els costa molt de veure o que nesesiten un aparell que aumenta la vista","cosa , molt petit que el humà el costar molt de veure o que necessitar un aparell que aumentar el vista ."
4807, atrevir-se,10,es ser una persona que s'atreveix a tot que no te por de res,ser ser un persona que es atrevir-se a tot que no tenir por de res .
4808, cervell,10,es un origuen que tenim al cap ple de neurone i ens serveix per pensar i dirigir el notre cos,ser un origen que tenir al cap ple de neurona i jo servir per pensar i dirigir el_nostre cos
4809, impressionant,10,una cosa impresionant es quan no t'esperes algu i de sopte et be,un cosa impressionant ser quan no tu esperar algú i de_sobte tu venir .
4309, construir,8,una cosa que bas constuint poc a poc,un cosa que anar construir poc a poc .
4310, fastigós,8,una qosa bumitosa i fastigosa com un moc,un cosa vomitiu i fastigós com un moc .
4239, àrab,7,es una persona que es *,ser un persona que ser * .
4240, badar,7,es quan ta xeces del llit,ser quan tu aixecar del llit .
4241, llunyà,7,la lluna representa en nit quan la lluna sur edent,el lluna representar en nit quan el lluna sortir .
5330, enganyar,13,Dir coses falses a algú.,dir cosa falsa a algú .
5331, espatllat,13,"Que no funciona, que hi ha algu que falla.","que no funcionar , que hi haver algú que fallar ."
5332, microscopi,13,Objecte que serveix per observar coses molt petites.,objecte que servir per observar cosa molt petit .
5285, complicat,13,És una cosa difícil d'aplicar o difícil de fer.,ser un cosa difícil de aplicar o difícil de fer .
5286, espia,13,És una persona que té com a treball recopilar informació sense que el descubreixin.,ser un persona que tenir com a treball recopilar informació sense que el descobrir .
5287, estudiar,13,És aprendra i memoritzar coses sobre algún tema.,ser aprendre i memoritzar cosa sobre algun tema .
5340, amagar,13,Posar una cosa en un lloc secret i ocult.,posar un cosa en un lloc secret i ocult .
5342, lleig,13,Cosa que no es agradable de veure una cosa lletja.,cosa que no ser agradable de veure un cosa lleig .
5390, llegir,15,dir unes paraules seguides.,dir un paraula seguit .
5391, mapa,15,Full de paper on està dibuixat el mont o un lloc concret.,full de paper on estar dibuixar el món o un lloc concret .
5392, minúscul,15,cosa petita o inclùs cosa que no es pot veure,cosa petit o inclús cosa que no ell poder veure .
5326, traduir,12,Passar un text o un seguit de paraules d'un idioma a un altre.,passar un text o un seguit de paraula de un idioma a un altre .
5327, vergonyós,12,Que té molta vergonya.,que tenir molt vergonya .
5345, fugir,13,"escapa, sorre en direcció contraria d'alguna cosa","escapar , córrer en direcció contrari de algun cosa ."
